ID_partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
100,IA_medio,17,Derrota,4,True
100,IA_dificil,19,Victoria,7,True
101,IA_facil,22,Derrota,6,True
101,IA_medio,20,Victoria,6,False
101,IA_dificil,18,Derrota,4,True
102,IA_facil,21,Victoria,6,False
102,IA_medio,17,Derrota,5,False
102,IA_dificil,20,Derrota,5,False
103,IA_facil,17,Derrota,5,True
103,IA_medio,17,Derrota,6,True
103,IA_dificil,18,Victoria,4,True
104,IA_facil,18,Derrota,6,True
104,IA_medio,19,Derrota,5,True
104,IA_dificil,20,Victoria,6,True
105,IA_facil,19,Derrota,5,True
105,IA_medio,21,Victoria,7,False
105,IA_dificil,17,Derrota,4,True
106,IA_facil,20,Victoria,4,True
106,IA_medio,17,Derrota,5,True
106,IA_dificil,17,Derrota,6,True
107,IA_facil,19,Victoria,7,False
107,IA_medio,18,Derrota,5,True
107,IA_dificil,17,Derrota,4,True
108,IA_facil,17,Derrota,5,False
108,IA_medio,21,Victoria,5,False
108,IA_dificil,13,Derrota,4,False
109,IA_facil,17,Derrota,5,False
109,IA_medio,21,Victoria,5,False
109,IA_dificil,13,Derrota,4,False
110,IA_facil,21,Victoria,8,False
110,IA_medio,18,Derrota,7,False
110,IA_dificil,19,Derrota,5,True
111,IA_facil,18,Derrota,6,True
111,IA_medio,18,Derrota,6,True
111,IA_dificil,19,Victoria,6,True
112,IA_facil,17,Derrota,3,True
112,IA_medio,19,Victoria,8,False
112,IA_dificil,22,Derrota,5,True
113,IA_facil,17,Derrota,5,True
113,IA_medio,20,Victoria,5,True
113,IA_dificil,22,Derrota,5,True
114,IA_facil,18,Empate,5,True
114,IA_medio,18,Empate,5,True
114,IA_dificil,18,Empate,6,False
115,IA_facil,20,Victoria,6,False
115,IA_medio,19,Derrota,5,True
115,IA_dificil,17,Derrota,5,True
116,IA_facil,18,Derrota,4,True
116,IA_medio,17,Derrota,4,True
116,IA_dificil,19,Victoria,6,False
117,IA_facil,22,Derrota,4,True
117,IA_medio,18,Empate,5,True
117,IA_dificil,18,Empate,6,False
118,IA_facil,18,Empate,5,True
118,IA_medio,18,Empate,6,False
118,IA_dificil,17,Derrota,5,True
119,IA_facil,18,Empate,5,True
119,IA_medio,18,Empate,5,True
119,IA_dificil,17,Derrota,5,True
120,IA_facil,19,Empate,5,True
120,IA_medio,19,Empate,5,True
120,IA_dificil,19,Empate,4,True
121,IA_facil,19,Victoria,4,True
121,IA_medio,18,Derrota,7,True
121,IA_dificil,17,Derrota,4,True
122,IA_facil,18,Derrota,5,True
122,IA_medio,19,Empate,5,True
122,IA_dificil,19,Empate,5,True
123,IA_facil,20,Empate,5,True
123,IA_medio,20,Empate,6,False
123,IA_dificil,17,Derrota,4,True
124,IA_facil,22,Derrota,6,True
124,IA_medio,22,Derrota,5,True
124,IA_dificil,17,Victoria,5,True
125,IA_facil,17,Empate,6,False
125,IA_medio,17,Empate,4,True
125,IA_dificil,17,Empate,5,True
126,IA_facil,18,Empate,4,True
126,IA_medio,22,Derrota,6,True
126,IA_dificil,18,Empate,4,True
127,IA_facil,17,Empate,4,True
127,IA_medio,17,Empate,4,True
127,IA_dificil,17,Empate,5,False
128,IA_facil,22,Derrota,4,True
128,IA_medio,18,Victoria,5,False
128,IA_dificil,17,Derrota,4,True
129,IA_facil,20,Empate,6,False
129,IA_medio,17,Derrota,5,True
129,IA_dificil,20,Empate,5,True
130,IA_facil,21,Victoria,5,False
130,IA_medio,16,Derrota,4,False
130,IA_dificil,12,Derrota,4,False
131,IA_facil,20,Derrota,5,False
131,IA_medio,21,Victoria,5,False
131,IA_dificil,13,Derrota,4,False
132,IA_facil,18,Derrota,6,True
132,IA_medio,19,Empate,6,True
132,IA_dificil,19,Empate,6,True
133,IA_facil,21,Victoria,6,False
133,IA_medio,11,Derrota,5,False
133,IA_dificil,11,Derrota,5,False
134,IA_facil,18,Derrota,4,True
134,IA_medio,21,Victoria,7,False
134,IA_dificil,18,Derrota,6,False
135,IA_facil,17,Derrota,6,True
135,IA_medio,19,Victoria,4,True
135,IA_dificil,17,Derrota,6,True
136,IA_facil,20,Empate,5,True
136,IA_medio,17,Derrota,4,True
136,IA_dificil,20,Empate,5,True
137,IA_facil,22,Derrota,5,True
137,IA_medio,21,Victoria,6,False
137,IA_dificil,19,Derrota,5,False
138,IA_facil,21,Victoria,6,False
138,IA_medio,19,Derrota,5,False
138,IA_dificil,12,Derrota,5,False
139,IA_facil,19,Empate,5,True
139,IA_medio,19,Empate,4,True
139,IA_dificil,17,Derrota,7,True
140,IA_facil,18,Derrota,5,True
140,IA_medio,20,Victoria,7,False
140,IA_dificil,17,Derrota,4,True
141,IA_facil,17,Derrota,4,True
141,IA_medio,17,Derrota,3,True
141,IA_dificil,19,Victoria,6,False
142,IA_facil,20,Victoria,5,True
142,IA_medio,18,Derrota,4,True
142,IA_dificil,19,Derrota,5,True
143,IA_facil,20,Empate,9,False
143,IA_medio,17,Derrota,6,True
143,IA_dificil,20,Empate,7,True
144,IA_facil,20,Victoria,5,True
144,IA_medio,17,Derrota,4,True
144,IA_dificil,18,Derrota,6,True
145,IA_facil,20,Victoria,7,True
145,IA_medio,22,Derrota,9,True
145,IA_dificil,18,Derrota,5,True
146,IA_facil,15,Victoria,6,False
146,IA_medio,22,Derrota,6,True
146,IA_dificil,22,Derrota,5,True
147,IA_facil,17,Derrota,4,True
147,IA_medio,20,Victoria,7,False
147,IA_dificil,17,Derrota,4,True
148,IA_facil,18,Derrota,6,True
148,IA_medio,17,Derrota,6,True
148,IA_dificil,20,Victoria,5,True
149,IA_facil,20,Victoria,7,False
149,IA_medio,17,Derrota,5,True
149,IA_dificil,17,Derrota,6,True
150,IA_facil,18,Derrota,5,True
150,IA_medio,19,Derrota,5,True
150,IA_dificil,20,Victoria,6,False
151,IA_facil,17,Derrota,5,True
151,IA_medio,19,Derrota,5,True
151,IA_dificil,20,Victoria,6,False
152,IA_facil,18,Empate,7,True
152,IA_medio,18,Empate,6,True
152,IA_dificil,17,Derrota,7,True
153,IA_facil,17,Derrota,4,True
153,IA_medio,17,Derrota,4,True
153,IA_dificil,20,Victoria,6,False
154,IA_facil,17,Derrota,5,True
154,IA_medio,17,Derrota,4,True
154,IA_dificil,20,Victoria,6,False
155,IA_facil,18,Empate,4,True
155,IA_medio,17,Derrota,6,True
155,IA_dificil,18,Empate,7,False
156,IA_facil,20,Victoria,5,True
156,IA_medio,19,Derrota,4,True
156,IA_dificil,18,Derrota,5,True
157,IA_facil,19,Derrota,7,True
157,IA_medio,18,Derrota,4,True
157,IA_dificil,20,Victoria,6,True
158,IA_facil,18,Empate,5,True
158,IA_medio,22,Derrota,5,True
158,IA_dificil,18,Empate,5,True
159,IA_facil,19,Derrota,4,True
159,IA_medio,18,Derrota,5,True
159,IA_dificil,20,Victoria,6,False
160,IA_facil,18,Derrota,7,True
160,IA_medio,17,Derrota,5,True
